NAME,Park,State,Country,Type,Manufacturer/Designer,Model,Duration,Length,Height,Drop,Speed,Inversions,Year Opened,Year Closed,Age,Your Total # of Rides,Total Ridden Length,Total Ride Time,Year of Latest Visit,Year of First Ride,# Rides Pre 2020,# Rides 2021,# Rides 2022,# Rides 2023,# Rides 2024,# Rides 2025,# Rides 2026,# Rides XXXX,<-INSERT HERE
Adventure Express,Kings Island,Ohio,United States,Steel,Arrow,Mine Train,0:02:20,2963,63,,35,0,1991,,32,11,32593,0:25:40,2023,,,1,3,7,,,,,
Backlot Stunt Coaster,Kings Island,Ohio,United States,Steel,Premier Rides,Special Effects Coaster,0:01:04,1960,45.2,31.2,40,0,2005,,18,14,27440,0:14:56,2023,,,1,3,10,,,,,
Banshee,Kings Island,Ohio,United States,Steel,Bolliger & Mabillard,Inverted,0:02:40,4124,167,150,68,7,2014,,9,20,82480,0:53:20,2023,,,1,11,8,,,,,
"Bat, The",Kings Island,Ohio,United States,Steel,Arrow,Suspended,0:01:52,2352,78,,51,0,1993,,30,16,37632,0:29:52,2023,,,1,3,12,,,,,
Beast,Kings Island,Ohio,United States,Wood,Kings Island,Terrain,0:04:10,7361,110,141,64.8,0,1979,,44,26,191386,1:48:20,2023,,,1,11,14,,,,,
Big Dipper,Camden Park,West Virginia,United States,Wood,National Amusement Devices,,0:01:40,,,,,0,1958,,65,2,0,0:03:20,2023,,,,,2,,,,,
Blazing Fury,Dollywood,Tennessee,United States,Steel,Dollywood,Enclosed,,1520,22,,22,0,1978,,45,1,1520,0:00:00,2021,,4,1,,,,,,,
Diamondback,Kings Island,Ohio,United States,Steel,Bolliger & Mabillard,Hyper,0:03:00,5282,230,215,80,0,2009,,14,28,147896,1:24:00,2023,,,,15,13,,,,,
FireChaser Express,Dollywood,Tennessee,United States,Steel,Gerstlauer,Family,0:02:19,2427,78,,34.5,0,2014,,9,1,2427,0:02:19,2021,2021,,1,,,,,,,
Firehawk,Kings Island,Ohio,United States,Steel,Vekoma,Flying Dutchman,0:02:10,3339.9,115,,50,5,2007,2018,11,0,0,0:00:00,2018,,1,,,,,,,,
Flight of Fear,Kings Island,Ohio,United States,Steel,Premier Rides,LIM Coaster,0:01:00,2705,74.2,,54,4,1996,,27,19,51395,0:19:00,2023,,,2,9,8,,,,,
Flying Ace Aerial Chase,Kings Island,Ohio,United States,Steel,Vekoma,Suspended Family,0:01:30,1122,48.6,,26,0,2001,,22,2,2244,0:03:00,2023,,,,1,1,,,,,
Galactica,Alton Towers,,England,Steel,Bolliger & Mabillard,Flying,0:01:40,2755.9,65.6,,46.6,2,2002,,21,1,2755.9,0:01:40,2023,2023,,,,1,,,,,
"Great Pumpkin Coaster, The",Kings Island,Ohio,United States,Steel,E&F Miler Industries,Oval,0:00:52,199.3,8,,,0,1992,,31,1,199.3,0:00:52,2023,,,,,1,,,,,
Invertigo,Kings Island,Ohio,United States,Steel,Vekoma,Invertigo,0:01:30,1013.8,131.3,,50,3,1999,,24,8,8110.4,0:12:00,2023,,,1,3,4,,,,,
Kentucky Flyer,Kentucky Kingdom,Kentucky,United States,Wood,Gravity Group,Wooden,0:00:55,1288,47,44,35,0,2019,,4,1,1288,0:00:55,2023,2023,,,,1,,,,,
Lightning Run,Kentucky Kingdom,Kentucky,United States,Steel,Chance,Hyper GT-X,0:01:10,2500,,100,55,0,2014,,9,2,5000,0:02:20,2023,2023,,,,2,,,,,
Lil' Dipper,Camden Park,West Virginia,United States,Wood,National Amusement Devices,Comet Jr.,0:01:05,,,,,0,1961,,62,1,0,0:01:05,2023,,1,,,1,,,,,
Mystery Mine,Dollywood,Tennessee,United States,Steel,Gerstlauer,Euro-Fighter,0:02:30,1804.5,85.3,,43.5,2,2007,,16,2,3609,0:05:00,2021,,3,2,,,,,,,
Mystic Timbers,Kings Island,Ohio,United States,Wood,Great Coasters International,Wooden,0:01:15,3265,109.2,,53,0,2017,,6,50,163250,1:02:30,2023,2021,,2,28,20,,,,,
Oblivion,Alton Towers,,England,Steel,Bolliger & Mabillard,Dive,0:01:00,1222,65,180,68,0,1998,,25,2,2444,0:02:00,2023,2023,,,,2,,,,,
Orion,Kings Island,Ohio,United States,Steel,Bolliger & Mabillard,Hyper,0:03:00,5321,287,300,91,0,2020,,3,29,154309,1:27:00,2023,2021,,1,18,10,,,,,
"Racer, The",Kings Island,Ohio,United States,Wood,Philadelphia Toboggan Company,Wooden,0:02:00,3415,88,,53,0,1972,,51,22,75130,0:44:00,2023,,2,1,4,17,,,,,
Rita,Alton Towers,,England,Steel,Intamin,Accelerator,0:00:25,2099.7,68.6,,61.1,0,2005,,18,1,2099.7,0:00:25,2023,2023,,,,1,,,,,
Roller Skater,Kentucky Kingdom,Kentucky,United States,Steel,Vekoma,Junior,0:50:00,679.1,27.9,,21.7,0,1994,,29,1,679.1,0:50:00,2023,2023,,,,1,,,,,
Runaway Mine Train,Alton Towers,,England,Steel,Mack,Powered,0:01:50,1000,,,22.4,0,1992,,31,1,1000,0:01:50,2023,2023,,,,1,,,,,
Sling Shot,Camden Park,West Virginia,United States,Steel,SBF-VISA Group,Compact Spinning,,190,14,,,0,2016,,7,2,380,0:00:00,2023,2023,,,,2,,,,,
"Smiler, The",Alton Towers,,England,Steel,Gerstlauer,Infinity,0:02:45,3838.6,,98.4,52.8,14,2013,,10,2,7677.2,0:05:30,2023,2023,,,,2,,,,,
Storm Chaser,Kentucky Kingdom,Kentucky,United States,Steel,Rocky Mountain Construction,IBox,0:01:40,2744,100,,52,2,2016,,7,4,10976,0:06:40,2023,2023,,,,4,,,,,
Teddy Bear,Stricker's Grove,Ohio,United States,Wood,,,0:01:03,,,,,0,1996,,27,1,0,0:01:03,2023,2023,,,,1,,,,,
Tennessee Tornado,Dollywood,Tennessee,United States,Steel,Arrow,Custom Looping,0:01:48,2682,163,128,63,3,1999,,24,1,2682,0:01:48,2021,,4,1,,,,,,,
TH13TEEN,Alton Towers,,England,Steel,Intamin,Multi Dimenstion,0:01:40,2480.3,65.6,,41.6,0,2010,,13,2,4960.6,0:03:20,2023,2023,,,,2,,,,,
Thunder Run,Kentucky Kingdom,Kentucky,United States,Wood,Dinn Corporation,Wooden,0:01:54,2850,90,,53,0,1990,,33,2,5700,0:03:48,2023,2023,,,,2,,,,,
Thunderhead,Dollywood,Tennessee,United States,Wood,Great Coasters International,Wooden,0:02:05,3230,100.4,100,53.7,0,2004,,19,1,3230,0:02:05,2021,,2,1,,,,,,,
Tornado,Stricker's Grove,Ohio,United States,Wood,Philadelphia Toboggan Company,,0:01:33,,,,,0,1993,,30,1,0,0:01:33,2023,2023,,,,1,,,,,
Vortex,Kings Island,Ohio,United States,Steel,Arrow,Custom Looping,0:02:30,3800,148,138,55,6,1987,2019,32,0,0,0:00:00,2015,,2,,,,,,,,
Wicker Man,Alton Towers,,England,Wood,Great Coasters International,Wooden,0:03:30,2608.3,,72.2,43.6,0,2018,,5,2,5216.6,0:07:00,2023,2023,,,,2,,,,,
Wild Eagle,Dollywood,Tennessee,United States,Steel,Bolliger & Mabillard,Wing,0:02:22,3127,,135,61,4,2012,,11,2,6254,0:04:44,2021,,1,2,,,,,,,
Woodstock Express,Kings Island,Ohio,United States,Wood,Philadelphia Toboggan Company,Wooden,0:01:30,1350,38.6,,35,0,1972,,51,5,6750,0:07:30,2023,,2,,2,3,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,
,Park,State,Country,Type,Manufacturer,,,,,,,,,,,,,0:00:00,,,,,,,,,,,